scenario_id,scenario_type,scenario_subtype,difficulty,model_id,model_label,model_scale,model_arch,model_regime,condition,system_prompt,user_prompt,response_text,api_error,tokens_used,correct_answer,extracted_answer,is_correct,score_method,needs_review,grader_reasoning,timestamp
tom_001,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Max puts his toy car under the pillow and goes to school. His mom moves it to the drawer while cleaning. Max comes home.

Question: Where will Max look for his toy car?
ANSWER: pillow

---

Sally puts her marble in a basket and leaves the room. Anne moves the marble to a box while Sally is away. Sally comes back into the room.

Question: Where will Sally look for her marble?","<think>
Okay, let's see. The example was about Max and his toy car. He put it under the pillow, then his mom moved it to the drawer. When Max came home, he would look under the pillow because he didn't know it was moved. So the answer was pillow.

Now the question is about Sally and her marble. She puts it in a basket and leaves. Anne moves it to a box while Sally is away. When Sally comes back, where will she look? 

Following the example, Sally's last knowledge is that the marble is in the basket. Since she left and Anne moved it, Sally isn't aware of the move. So she would look in the basket. The answer should be basket. 

Wait, but the example had the mom moving it after Max left. So the key is that the person (Max or Sally) doesn't know it was moved. So Sally would check the original place, the basket. So the answer is basket.
</think>

ANSWER: basket",,355,basket,basket,True,exact_match,False,,2026-04-15T18:40:59.279869
tom_001,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Max puts his toy car under the pillow and goes to school. His mom moves it to the drawer while cleaning. Max comes home.

Question: Where will Max look for his toy car?
ANSWER: pillow

---

Sally puts her marble in a basket and leaves the room. Anne moves the marble to a box while Sally is away. Sally comes back into the room.

Question: Where will Sally look for her marble?","Sally will look in the basket because that's where she last saw it before leaving.

ANSWER: basket",,172,basket,basket,True,exact_match,False,,2026-04-15T18:41:01.702109
tom_002,theory_of_mind,false_belief,advanced,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Ana knows Ben stored his keys in the bowl. While Ben is out, Ana moves them to the shelf. Ben returns.

Question: Where does Ana think Ben will look for his keys?
ANSWER: bowl

---

John knows that Mary hid cookies in the jar. While Mary is away, John moves them to the drawer but tells no one. Mary comes back.

Question: Where does John think Mary will look for the cookies?","<think>
Okay, let's see. The scenario is about John and Mary. John knows that Mary hid cookies in the jar. Then, while Mary is away, John moves the cookies to the drawer but doesn't tell anyone. Now, Mary comes back.

The question is asking where John thinks Mary will look for the cookies. Hmm. So, I need to figure out John's belief about where Mary will look. 

First, Mary originally hid the cookies in the jar. John knows that. But John moves them to the drawer. However, John doesn't tell Mary about this. So, from Mary's perspective, she's still under the impression that the cookies are in the jar, right? Because she wasn't told they were moved. 

But the question is about John's belief. John knows that Mary hid them in the jar. He moved them, but he knows that Mary doesn't know they were moved. So, John would think that Mary is still unaware of the move. Therefore, John would believe that Mary will look in the jar, because that's where she originally hid them. 

Wait, but maybe John knows that Mary might have moved them? No, the scenario says John moved them, but Mary wasn't aware. So John knows that Mary's knowledge is that the cookies are in the jar. Therefore, John would think Mary will look in the jar. 

So the answer should be the jar. Let me check the example again. In the example, Ana moved the keys to the shelf, but Ben didn't know. So Ana thought Ben would look in the bowl. Similarly, here, John moved the cookies, but Mary doesn't know. So John thinks Mary will look in the jar. 

Yes, that makes sense. So the answer is jar.
</think>

ANSWER: jar",,518,jar,jar,True,exact_match,False,,2026-04-15T18:41:06.615916
tom_002,theory_of_mind,false_belief,advanced,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Ana knows Ben stored his keys in the bowl. While Ben is out, Ana moves them to the shelf. Ben returns.

Question: Where does Ana think Ben will look for his keys?
ANSWER: bowl

---

John knows that Mary hid cookies in the jar. While Mary is away, John moves them to the drawer but tells no one. Mary comes back.

Question: Where does John think Mary will look for the cookies?","John thinks Mary will look in the jar because that's where Mary originally hid the cookies, and John knows Mary's habit or expectation.

ANSWER: jar",,182,jar,jar,True,exact_match,False,,2026-04-15T18:41:09.783575
tom_003,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A tin is labeled 'tea bags' but secretly holds buttons. A visitor who has never opened it arrives.

Question: What will the visitor think is inside the tin?
ANSWER: tea bags

---

A child is shown a candy box. When opened, it contains pencils instead. The box is closed again. A new friend enters the room who has not seen inside the box.

Question: What will the new friend think is inside the box?","<think>
Okay, let's see. The scenario is about a candy box that was opened before and found to have pencils instead of candy. Then the box is closed again. A new friend comes in who hasn't seen inside. The question is what the friend will think is inside the box.

So, the key points here are: the box was previously opened and had pencils, but then it was closed again. The new friend hasn't seen inside, so they don't know what's inside. The original label might still be on the box, right? If the box was labeled as a candy box, even though it's actually pencils, the friend would assume it's candy unless they know otherwise. But wait, the problem says the box was closed again after being opened. The friend hasn't seen inside, so they don't have any information. So their expectation would be based on the label or the previous knowledge. But the problem doesn't mention the label. Wait, the original scenario says the box was a candy box, but when opened, it had pencils. So maybe the box was labeled as a candy box, but the contents were pencils. The friend hasn't seen inside, so they would think it's candy. But the question is, what will they think is inside? Since they haven't seen inside, they would assume it's what it's labeled as, which is candy. Unless there's some other context. Wait, the example given in the previous question was about a tin labeled 'tea bags' but holding buttons. The visitor who hasn't opened it thinks it's tea bags. So in this case, the candy box was originally intended to hold candy, but was changed to pencils. But the friend hasn't seen inside, so they would think it's candy. Unless the box was relabeled, but the problem doesn't say that. So the answer should be candy. Wait, but the problem says the box was closed again. The friend hasn't seen inside, so they don't know. So their belief is based on the label or the previous knowledge. If the box was labeled as a candy box, then they would think it's candy. But if the box was just a regular box, maybe they don't know. But the original scenario says it's a candy box. So the answer is candy. But wait, the problem says the box was opened and found to have pencils, then closed again. The friend hasn't seen inside. So the friend's belief is based on the label. So the answer",,665,candy,,,no_answer,True,,2026-04-15T18:41:16.964935
tom_003,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A tin is labeled 'tea bags' but secretly holds buttons. A visitor who has never opened it arrives.

Question: What will the visitor think is inside the tin?
ANSWER: tea bags

---

A child is shown a candy box. When opened, it contains pencils instead. The box is closed again. A new friend enters the room who has not seen inside the box.

Question: What will the new friend think is inside the box?","The new friend will think the box contains candy, based on the label.

ANSWER: candy",,173,candy,candy,True,exact_match,False,,2026-04-15T18:41:20.439974
tom_004,theory_of_mind,false_belief,intermediate,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Carlos whispers a plan to Dana thinking no one else can hear. Unknown to Carlos, their coworker Priya is working silently in the next cubicle with the divider open.

Question: Does Carlos think Priya heard his plan?
ANSWER: no

---

Emma tells James a secret in a library, believing they are alone. Unknown to Emma, her colleague Nina is sitting hidden behind a bookshelf and hears everything.

Question: Does Emma believe Nina knows her secret?","<think>
Okay, let's tackle this question. So, Emma tells James a secret in a library, thinking they're alone. But Nina is hiding behind a bookshelf and hears everything. The question is whether Emma believes Nina knows her secret.

First, I need to consider Emma's perspective. She believes they're alone because she didn't notice Nina. Since she's unaware that Nina is there, she wouldn't realize that Nina heard the secret. Belief is about what someone is aware of. Since Emma doesn't know about Nina's presence, she can't know that Nina heard. Therefore, Emma doesn't believe Nina knows the secret. The key here is that Emma's belief is based on her own awareness, not on the actual presence of Nina. So the answer should be no.
</think>

ANSWER: no",,323,no,no,True,exact_match,False,,2026-04-15T18:41:23.910800
tom_004,theory_of_mind,false_belief,intermediate,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Carlos whispers a plan to Dana thinking no one else can hear. Unknown to Carlos, their coworker Priya is working silently in the next cubicle with the divider open.

Question: Does Carlos think Priya heard his plan?
ANSWER: no

---

Emma tells James a secret in a library, believing they are alone. Unknown to Emma, her colleague Nina is sitting hidden behind a bookshelf and hears everything.

Question: Does Emma believe Nina knows her secret?","Emma believes they are alone in the library and has no knowledge that Nina is present or listening. Therefore, she does not believe Nina knows her secret.

ANSWER: no",,192,no,no,True,exact_match,False,,2026-04-15T18:41:26.585175
tom_005,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A bottle is marked 'water' but holds lemon juice. Maya drinks from it thinking it is water.

Question: What does Maya believe she is drinking?
ANSWER: water

---

A jar is labeled 'coffee' but actually contains sugar. Alex pours from it thinking it is coffee. Alex's friend Sam watches but says nothing.

Question: What does Alex believe they are putting in their cup?","<think>
Okay, let's tackle this question. So, the scenario is that there's a jar labeled 'coffee' but it actually has sugar. Alex is pouring from it, thinking it's coffee. Sam is watching but says nothing. The question is asking what Alex believes they are putting in their cup.

First, I need to focus on Alex's perspective. The jar is labeled 'coffee', so Alex would assume that's what's inside. Even though the jar actually contains sugar, Alex isn't aware of that. The fact that Sam is watching but not saying anything might be a red herring. The key here is Alex's belief, not the actual content. 

So, the label is 'coffee', so Alex's belief is that the jar contains coffee. Therefore, when Alex pours from it, they believe they're putting coffee into their cup. The actual content being sugar doesn't affect Alex's belief. The answer should be coffee. Let me check the example given. In the example, the bottle was labeled 'water' but had lemon juice, and Maya believed she was drinking water. So the answer was water. Similarly here, the jar is labeled coffee, so Alex believes it's coffee. The answer should be coffee.
</think>

ANSWER: coffee",,400,coffee,coffee,True,exact_match,False,,2026-04-15T18:41:30.146671
tom_005,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A bottle is marked 'water' but holds lemon juice. Maya drinks from it thinking it is water.

Question: What does Maya believe she is drinking?
ANSWER: water

---

A jar is labeled 'coffee' but actually contains sugar. Alex pours from it thinking it is coffee. Alex's friend Sam watches but says nothing.

Question: What does Alex believe they are putting in their cup?","Alex believes they are putting coffee in their cup.  

ANSWER: coffee",,159,coffee,coffee,True,exact_match,False,,2026-04-15T18:41:32.832033
