respondent,timestamp,q1_tom_001,q2_tom_003,q3_tom_004,q4_tom_013,q5_prag_001,q6_prag_003,q7_prag_006,q8_prag_007,q9_cot_001,q10_cot_006,q11_cot_007,q12_cot_009,total_score,pct_correct,tom_score,prag_score,cot_score
R01,4/15/2026 21:05:33,1,1,1,0,1,1,1,1,1,0,1,1,10,83.3,3,4,3
R02,4/15/2026 21:16:09,1,1,1,1,1,1,1,0,1,1,1,1,11,91.7,4,3,4
R03,4/15/2026 21:34:33,1,1,1,0,1,1,1,1,1,1,1,1,11,91.7,3,4,4
R04,4/15/2026 21:47:21,1,1,1,1,1,1,1,0,1,1,0,1,10,83.3,4,3,3
R05,4/15/2026 21:53:31,1,1,1,0,1,1,1,1,1,1,1,1,11,91.7,3,4,4
R06,4/15/2026 21:59:01,1,0,1,1,1,1,1,0,0,1,1,0,8,66.7,3,3,2
R07,4/15/2026 22:43:54,1,1,1,0,1,1,1,1,1,0,0,1,9,75.0,3,4,2
R08,4/15/2026 23:02:19,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0,4,4,4
R09,4/15/2026 23:43:03,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0,4,4,4
R10,4/16/2026 8:26:24,1,1,1,0,1,0,1,1,1,1,0,1,9,75.0,3,3,3
R11,4/16/2026 8:40:00,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0,4,4,4
R12,4/16/2026 18:31:15,1,1,1,1,1,1,1,0,0,1,1,1,10,83.3,4,3,3

SUMMARY,n=12,12/12,11/12,12/12,7/12,12/12,11/12,12/12,8/12,10/12,10/12,9/12,11/12,125/144,86.8%,42/48,43/48,40/48
